time,lat,lon,dev_acc_d
"2022-03-19 15:12:54",35.7243804,51.3865214,0
"2022-03-19 15:12:59",35.7234923,51.3859841,0
"2022-03-19 15:13:04",35.7232337,51.3867117,0.07172
"2022-03-19 15:13:09",35.7231381,51.3876568,0.15773
"2022-03-19 15:13:14",35.7230824,51.388778,0.25916
"2022-03-19 15:13:19",35.7231459,51.3898776,0.35871
"2022-03-19 15:13:24",35.7231398,51.3909907,0.45923
"2022-03-19 15:13:29",35.7231276,51.3920586,0.55567
"2022-03-19 15:13:34",35.7232423,51.3930035,0.64194
"2022-03-19 15:13:39",35.7235358,51.3938906,0.72845
"2022-03-19 15:13:44",35.7238618,51.3946296,0.8044
"2022-03-19 15:13:49",35.7241686,51.3952213,0.86779
"2022-03-19 15:13:54",35.7245596,51.3960022,0.95064
"2022-03-19 15:13:59",35.724789,51.396899,1.03555
"2022-03-19 15:14:04",35.7246661,51.3978951,1.12653
"2022-03-19 15:14:09",35.7242154,51.3988007,1.22245
"2022-03-19 15:14:14",35.7235937,51.3995499,1.31919
"2022-03-19 15:14:19",35.7229525,51.4000785,1.40501
"2022-03-19 15:14:24",35.7225447,51.4003621,1.4571
"2022-03-19 15:14:29",35.7224388,51.4004074,1.46957
"2022-03-19 15:14:34",35.7225035,51.4004376,1.47726
"2022-03-19 15:14:39",35.7225821,51.4004814,1.48686
"2022-03-19 15:14:44",35.7225569,51.4003156,1.50209
"2022-03-19 15:14:49",35.7225664,51.4003719,1.50729
"2022-03-19 15:14:54",35.7225682,51.4003796,1.50801
"2022-03-19 15:14:59",35.7225683,51.40038,1.50805
"2022-03-19 15:15:04",35.7224758,51.4004817,1.52184
"2022-03-19 15:15:09",35.7223422,51.4006693,1.54437
"2022-03-19 15:15:14",35.7223537,51.4011788,1.5904
"2022-03-19 15:15:19",35.7223801,51.4018148,1.64791
"2022-03-19 15:15:24",35.7223499,51.4022765,1.68974
"2022-03-19 15:15:29",35.7223782,51.4023856,1.70008
"2022-03-19 15:15:34",35.7224642,51.4024165,1.71004
"2022-03-19 15:15:39",35.7227648,51.4024039,1.7435
"2022-03-19 15:15:44",35.7230333,51.4024893,1.77434
"2022-03-19 15:15:49",35.7232994,51.4025668,1.80476
"2022-03-19 15:15:54",35.7235077,51.4025539,1.82795
"2022-03-19 15:15:59",35.7236573,51.4026352,1.84614
"2022-03-19 15:16:04",35.7236756,51.4030651,1.88502
"2022-03-19 15:16:09",35.7236839,51.4036227,1.93538
"2022-03-19 15:16:14",35.7236797,51.4039977,1.96924
"2022-03-19 15:16:19",35.7236647,51.4043947,2.00513
"2022-03-19 15:16:24",35.7236703,51.404716,2.03415
"2022-03-19 15:16:29",35.723642,51.4047509,2.03861
"2022-03-19 15:16:34",35.7236369,51.4047517,2.03918
"2022-03-19 15:16:39",35.7236367,51.4047517,2.0392
"2022-03-19 15:16:44",35.7236367,51.4047517,2.0392
"2022-03-19 15:16:48",35.7236458,51.4048696,2.04989
"2022-03-19 15:16:54",35.7236631,51.4051827,2.07823
"2022-03-19 15:16:59",35.7236861,51.4056471,2.12025
"2022-03-19 15:17:04",35.7237041,51.4060901,2.1603
"2022-03-19 15:17:09",35.7237589,51.4065758,2.20458
"2022-03-19 15:17:14",35.7238345,51.4071115,2.25368
"2022-03-19 15:17:19",35.7238942,51.4075519,2.294
"2022-03-19 15:17:24",35.7239299,51.4078843,2.32428
